# d_ij	D_ij  (gapblock v3)
145.0000	1402.2043
124.0000	1528.2094
91.0000	1507.0853
165.0000	1141.2138
157.0000	1872.0267
104.0000	1010.8397
103.0000	1970.1878
132.0000	1541.3692
153.0000	1373.9632
128.0000	1241.5374
160.0000	1498.7084
73.0000	2765.6853
103.0000	1759.6775
164.0000	1643.7342
137.0000	1357.2270
162.0000	1461.4873
183.0000	1375.6958
158.0000	1550.2329
86.0000	1605.8879
134.0000	1374.2081
147.0000	1780.6249
122.0000	1403.8451
114.0000	1662.7216
70.0000	1014.2268
53.0000	1614.9598
142.0000	2142.2901
105.0000	1299.8796
138.0000	1544.8777
149.0000	2136.2498
125.0000	1250.1620
91.0000	948.5241
97.0000	1520.8603
130.0000	1554.9608
135.0000	1668.0920
140.0000	1929.9440
90.0000	1076.4762
106.0000	1293.4168
119.0000	1541.4156
113.0000	1241.3033
142.0000	1963.3306
111.0000	1255.8193
141.0000	2397.0169
74.0000	924.7221
117.0000	1314.0457
124.0000	1623.5846
105.0000	1644.2509
76.0000	966.3767
118.0000	1406.4868
86.0000	757.7229
91.0000	1234.1361
106.0000	1146.8710
121.0000	1454.2857
127.0000	1524.8888
109.0000	1592.3049
110.0000	1309.3842
78.0000	993.3096
95.0000	1077.7309
95.0000	1050.7878
78.0000	895.5423
98.0000	1849.4288
112.0000	1348.7654
111.0000	1518.1314
97.0000	1260.2135
92.0000	2307.1545
93.0000	2271.9245
155.0000	1428.1915
147.0000	1368.7502
163.0000	1540.6151
70.0000	2037.4474
101.0000	1030.3795
117.0000	1399.8014
96.0000	1324.5928
107.0000	1293.5931
160.0000	2437.5625
93.0000	1689.2809
60.0000	666.0285
82.0000	1059.9434
103.0000	1233.2498
108.0000	1518.3768
141.0000	1838.7925
138.0000	1465.6053
73.0000	1846.7620
92.0000	1514.1549
68.0000	1302.3840
110.0000	1207.9040
111.0000	1587.1077
129.0000	1576.7016
112.0000	1563.4152
148.0000	1764.3305
110.0000	1613.3695
88.0000	1088.8815
119.0000	1692.2355
128.0000	1715.6652
111.0000	2123.2280
121.0000	1734.6492
90.0000	1225.2620
84.0000	1000.9031
136.0000	1250.9309
129.0000	1240.7647
111.0000	1005.9056
134.0000	1428.7082
86.0000	1047.0248
62.0000	756.2043
112.0000	1419.0095
120.0000	1663.5691
100.0000	1228.5479
128.0000	1985.6694
146.0000	2234.8181
57.0000	667.6683
113.0000	1410.2950
123.0000	1274.1778
72.0000	977.9438
121.0000	1456.8154
97.0000	1308.3268
109.0000	2161.0962
95.0000	1606.9994
101.0000	1356.8132
122.0000	1106.0705
141.0000	1538.0517
130.0000	1805.0147
136.0000	1883.2318
79.0000	1780.7529
113.0000	1276.1885
141.0000	2236.1889
85.0000	1197.6986
98.0000	1148.7928
103.0000	980.0128
155.0000	2006.4775
84.0000	1035.0744
170.0000	1498.0567
113.0000	1142.9519
124.0000	1564.6194
101.0000	1093.7097
114.0000	1336.6353
139.0000	1335.7968
127.0000	1259.9159
151.0000	1536.1728
89.0000	1204.9228
94.0000	929.7225
116.0000	1454.5388
101.0000	1210.2434
97.0000	1139.7263
94.0000	1104.8108
122.0000	1801.4219
75.0000	1451.8478
90.0000	1317.8232
95.0000	1167.6147
102.0000	1532.2379
99.0000	1813.2691
88.0000	1549.3408
87.0000	1169.9850
107.0000	1395.1989
96.0000	1088.5702
120.0000	1276.6468
91.0000	1452.5199
142.0000	2012.4637
124.0000	1504.1130
139.0000	1766.1922
143.0000	2137.9932
137.0000	1551.3578
83.0000	932.5830
118.0000	2039.5161
41.0000	645.1403
117.0000	1067.3481
132.0000	1295.4466
89.0000	951.4867
178.0000	2508.9562
142.0000	1554.5440
81.0000	1153.8284
119.0000	2572.7478
144.0000	1783.2204
76.0000	959.5082
100.0000	1013.4367
125.0000	2149.5034
66.0000	783.6224
120.0000	2567.1178
89.0000	1214.7033
94.0000	948.3217
92.0000	1313.5916
117.0000	1571.6154
86.0000	1577.5611
97.0000	1163.4479
81.0000	1188.2319
73.0000	1731.3217
141.0000	2267.9244
104.0000	1281.5463
85.0000	988.1963
77.0000	1622.9710
107.0000	1261.3338
101.0000	897.0747
107.0000	1406.7921
111.0000	1102.2577
96.0000	1481.0078
75.0000	861.6362
116.0000	1283.6390
128.0000	1477.8180
98.0000	963.0929
125.0000	1621.7552
97.0000	1095.2402
92.0000	1639.1635
93.0000	1732.1019
121.0000	1816.6882
148.0000	1544.7689
122.0000	1827.1905
123.0000	1638.2973
133.0000	1805.6439
123.0000	2083.1786
136.0000	1451.7049
95.0000	1411.7025
136.0000	1524.9354
164.0000	1226.2239
100.0000	941.6847
98.0000	1381.7322
113.0000	1280.7076
112.0000	1910.4479
109.0000	1784.8398
94.0000	1545.8334
82.0000	1144.7947
109.0000	1198.0664
132.0000	1836.5522
116.0000	1743.4569
96.0000	1173.5502
141.0000	1136.0643
94.0000	962.6183
126.0000	1084.8170
123.0000	1293.5973
112.0000	1525.9459
103.0000	1112.5453
110.0000	1053.5435
132.0000	1477.8870
128.0000	1493.3941
103.0000	1244.4368
86.0000	1474.6749
74.0000	830.8345
127.0000	1358.3976
97.0000	1690.7253
117.0000	894.9771
123.0000	1553.7139
76.0000	1340.1668
137.0000	1477.6339
135.0000	1524.3012
118.0000	1382.8854
113.0000	800.6166
146.0000	1436.6398
89.0000	1037.5389
93.0000	1299.8138
71.0000	870.7950
123.0000	1356.4063
132.0000	1526.2978
97.0000	1252.0272
94.0000	988.0536
136.0000	1723.5626
125.0000	1560.6861
124.0000	1439.1008
111.0000	1496.5103
113.0000	1481.8526
111.0000	1581.2220
127.0000	1542.4931
121.0000	1586.7278
127.0000	1559.2412
109.0000	1955.4935
180.0000	1977.2767
117.0000	1876.0203
97.0000	1242.8129
137.0000	2050.4375
157.0000	2649.2984
98.0000	1151.3205
69.0000	1339.7239
112.0000	1240.6813
93.0000	1106.4027
107.0000	1608.7520
114.0000	1256.7609
107.0000	1672.6625
105.0000	1472.8598
144.0000	1401.1338
142.0000	1784.3618
86.0000	1369.2754
78.0000	1209.3825
71.0000	1040.1485
133.0000	1414.5904
115.0000	1275.6798
130.0000	1913.7845
103.0000	977.1868
113.0000	1312.4652
148.0000	1802.2763
132.0000	1361.5921
137.0000	1529.7023
97.0000	1333.6735
130.0000	2065.0801
124.0000	1179.8542
153.0000	1882.7820
141.0000	1369.8814
165.0000	1869.2838
122.0000	1788.1267
118.0000	2006.5847
134.0000	1435.8983
148.0000	1635.1480
132.0000	1341.4399
120.0000	1089.1928
125.0000	1354.2459
130.0000	1320.8217
109.0000	1457.8206
86.0000	1162.0215
159.0000	1452.3911
69.0000	870.0701
115.0000	2071.4203
118.0000	1676.0003
85.0000	1150.5481
109.0000	2146.2880
102.0000	1369.9361
120.0000	1411.3394
107.0000	1197.6064
120.0000	1289.1377
192.0000	2743.2162
152.0000	2139.1381
144.0000	1185.8663
132.0000	1858.8461
124.0000	1107.8001
141.0000	1550.2474
99.0000	1201.2406
168.0000	2197.1379
80.0000	913.0843
103.0000	1052.9302
119.0000	1232.3461
139.0000	1452.4672
135.0000	1497.7640
103.0000	2089.1426
94.0000	910.3433
133.0000	1645.8056
148.0000	1376.6899
128.0000	1454.3545
131.0000	1436.3729
87.0000	1090.6975
115.0000	1277.8474
86.0000	1029.0870
109.0000	1270.4519
115.0000	1441.0219
115.0000	1501.9061
123.0000	1482.3384
128.0000	1752.9806
68.0000	1596.1569
100.0000	1370.1894
67.0000	968.3171
122.0000	1456.0656
88.0000	1337.8083
63.0000	990.3585
51.0000	751.9754
147.0000	1342.7893
145.0000	1729.7182
141.0000	1751.9695
165.0000	1865.5125
139.0000	1975.7801
162.0000	2201.4781
120.0000	1783.4060
86.0000	1403.3410
152.0000	1916.8119
145.0000	2123.9750
103.0000	1083.6429
77.0000	1283.7480
132.0000	1296.0633
70.0000	1147.4228
77.0000	1087.6741
92.0000	1511.7821
118.0000	2645.8845
84.0000	2179.6768
88.0000	1667.7797
74.0000	1044.5975
89.0000	3058.7004
63.0000	1788.6601
77.0000	2263.6526
107.0000	1588.0441
70.0000	917.8355
127.0000	1939.1044
138.0000	1776.3060
90.0000	1057.1972
134.0000	1570.5057
104.0000	3025.9762
129.0000	1655.7488
135.0000	1671.5885
104.0000	1521.4700
85.0000	1194.3463
113.0000	2232.6572
104.0000	1634.0606
83.0000	1937.3755
116.0000	1636.2494
97.0000	1370.7341
138.0000	1656.3520
47.0000	1665.7533
61.0000	1062.7267
171.0000	2062.7976
107.0000	1569.5426
124.0000	1346.5760
112.0000	1384.2623
144.0000	1663.0526
134.0000	1768.8324
115.0000	1483.9360
110.0000	1332.6519
113.0000	1747.7059
125.0000	1238.2766
112.0000	1304.7210
77.0000	961.4359
118.0000	1949.9236
60.0000	818.2689
101.0000	1146.0013
103.0000	1669.0446
80.0000	991.9279
98.0000	1779.3218
116.0000	1547.6799
58.0000	928.1972
115.0000	1416.5197
113.0000	2206.1929
150.0000	1760.9938
73.0000	760.8666
125.0000	1806.1614
154.0000	1730.2821
137.0000	1500.7848
123.0000	1600.8342
154.0000	1597.0651
119.0000	1510.4599
138.0000	1647.9390
143.0000	1605.9106
93.0000	1809.0807
144.0000	1482.6207
120.0000	1381.3892
121.0000	1199.9079
161.0000	2614.8325
102.0000	1199.4282
102.0000	1136.1928
85.0000	1188.0316
89.0000	1464.7075
146.0000	2168.9059
132.0000	1282.2761
106.0000	1294.0483
106.0000	1176.0412
109.0000	1055.3379
115.0000	1077.2228
140.0000	1516.5415
138.0000	1543.4954
144.0000	1270.6691
130.0000	1500.5746
117.0000	1502.3049
129.0000	1395.5175
116.0000	1177.3258
131.0000	1361.0558
104.0000	1313.3042
129.0000	1458.2774
118.0000	1399.9111
105.0000	1372.3746
72.0000	1079.5457
128.0000	1397.6462
71.0000	807.7914
96.0000	1405.0737
106.0000	1294.3129
102.0000	1392.8302
99.0000	1232.7153
90.0000	991.5881
126.0000	1417.3899
113.0000	1301.0061
133.0000	1647.4605
120.0000	1872.7859
98.0000	1068.3366
94.0000	1334.7018
94.0000	1003.1750
107.0000	1207.2684
95.0000	1050.8478
109.0000	1783.8971
116.0000	1963.2799
92.0000	1116.1241
131.0000	2069.0454
120.0000	1362.1523
136.0000	1136.0647
134.0000	1458.5839
79.0000	1191.2179
86.0000	1567.6871
111.0000	1233.3827
122.0000	1086.5809
119.0000	1083.3656
151.0000	2155.7899
138.0000	834.7862
126.0000	1233.4813
87.0000	800.7496
119.0000	1398.5085
122.0000	1169.5589
124.0000	1328.8804
119.0000	1258.5805
123.0000	1058.1748
95.0000	1037.4073
102.0000	1574.2694
108.0000	1625.0526
95.0000	1304.2120
150.0000	2339.2548
99.0000	1029.2934
107.0000	1332.9974
102.0000	1563.1340
32.0000	2470.6447
102.0000	1455.4638
91.0000	908.5477
70.0000	751.1891
121.0000	1677.7059
117.0000	1253.9055
82.0000	869.1542
67.0000	690.6939
110.0000	1130.5954
126.0000	2351.4593
145.0000	1931.2436
153.0000	1669.1522
114.0000	1999.0593
132.0000	2157.9525
140.0000	1864.5600
147.0000	2207.5067
136.0000	2433.7701
122.0000	1933.7797
117.0000	2396.4586
73.0000	1394.1058
146.0000	1674.6928
135.0000	1966.2663
121.0000	1794.4219
145.0000	1661.8721
149.0000	1932.5338
131.0000	2257.9294
99.0000	1294.1457
122.0000	1443.0669
107.0000	1527.7850
123.0000	1479.3712
99.0000	1298.9126
110.0000	1424.7007
121.0000	1494.1245
125.0000	1369.0088
119.0000	1491.9336
103.0000	1447.6636
98.0000	1665.8959
129.0000	2346.5673
101.0000	1292.4821
118.0000	2283.6863
117.0000	1490.6123
100.0000	1113.3607
71.0000	666.6993
77.0000	1693.1772
112.0000	1092.4138
131.0000	1347.4327
108.0000	1581.4297
106.0000	1181.3721
112.0000	1573.2714
131.0000	1568.3399
93.0000	1357.5537
91.0000	1029.3454
103.0000	1176.3860
122.0000	1218.0735
89.0000	1072.9823
90.0000	738.4165
119.0000	1120.7439
138.0000	1298.4321
119.0000	1080.4277
141.0000	1862.8790
95.0000	1177.5075
46.0000	667.9356
136.0000	1855.8693
121.0000	2225.9119
131.0000	1838.9731
122.0000	1619.9139
122.0000	1830.4983
112.0000	1935.6619
82.0000	980.4795
160.0000	1256.6487
103.0000	1400.3110
145.0000	1227.5280
115.0000	1333.5115
133.0000	1170.7288
137.0000	1393.0420
101.0000	1668.4127
159.0000	1718.0218
141.0000	1428.0431
97.0000	1785.5209
119.0000	1408.2674
161.0000	1502.6440
100.0000	1491.6645
86.0000	1794.9777
131.0000	2139.4553
114.0000	1509.1050
97.0000	1502.9082
115.0000	996.1265
99.0000	1981.4709
119.0000	1268.2937
138.0000	1580.8612
130.0000	1584.6416
137.0000	1526.6191
152.0000	1377.1300
118.0000	1170.9654
147.0000	1449.3078
119.0000	1527.1375
111.0000	1137.9640
115.0000	1226.4489
109.0000	1201.7404
104.0000	1164.1198
137.0000	2036.3175
135.0000	2703.8343
142.0000	2095.3246
149.0000	2122.1739
110.0000	2451.6452
122.0000	2033.1709
143.0000	2412.4048
129.0000	1471.9531
122.0000	1257.3715
101.0000	2130.8411
153.0000	1826.9833
180.0000	1534.3266
116.0000	1627.8031
154.0000	1662.7333
147.0000	1955.4800
121.0000	1989.7053
157.0000	1704.5495
117.0000	1026.6518
90.0000	1167.1307
65.0000	2342.6651
123.0000	1322.0957
122.0000	1255.5501
118.0000	1275.6179
114.0000	1279.7449
131.0000	1304.5597
116.0000	1294.3350
93.0000	920.4738
143.0000	1988.2138
136.0000	1998.9142
92.0000	1166.5149
99.0000	1196.1041
111.0000	1371.3001
93.0000	1594.2757
88.0000	1023.6752
91.0000	1235.3890
123.0000	1419.1339
133.0000	1399.3016
145.0000	1613.7187
89.0000	1151.8898
145.0000	1488.0030
141.0000	1460.4756
65.0000	1007.1107
127.0000	1124.7738
137.0000	1322.6636
85.0000	1461.3268
93.0000	924.4582
125.0000	1301.9919
135.0000	1901.5552
106.0000	1050.9600
114.0000	1200.8872
125.0000	1320.5567
83.0000	1062.0890
141.0000	1639.8076
138.0000	1829.2775
142.0000	1654.7447
84.0000	1293.7129
160.0000	2295.8543
116.0000	1557.2010
145.0000	1573.7789
148.0000	1210.9451
143.0000	1603.9704
118.0000	1509.9934
133.0000	1283.2556
149.0000	1546.7220
135.0000	1875.6687
126.0000	1557.5686
102.0000	1490.1429
96.0000	1946.1937
166.0000	1499.1471
127.0000	1923.1469
205.0000	1932.9951
134.0000	1590.0764
117.0000	1098.7984
108.0000	1353.0469
151.0000	1976.5369
112.0000	1165.6440
130.0000	1617.2610
141.0000	1368.8937
99.0000	1176.0153
137.0000	1717.0801
113.0000	1280.8294
110.0000	1170.1607
116.0000	1680.3279
73.0000	2076.0776
107.0000	1313.9422
59.0000	540.7032
108.0000	1066.3484
93.0000	1328.2089
145.0000	1761.6067
114.0000	1284.3372
106.0000	1250.8797
132.0000	1195.1121
106.0000	1197.7304
73.0000	1129.5526
130.0000	1389.3452
100.0000	954.1294
104.0000	1238.1357
127.0000	1606.0221
109.0000	1172.0397
75.0000	1035.6346
163.0000	1901.4297
117.0000	1310.4377
127.0000	1249.1129
93.0000	1740.7932
107.0000	1163.6748
88.0000	970.5251
111.0000	1107.1924
146.0000	2511.8517
143.0000	1572.4767
158.0000	2177.2315
147.0000	1284.2582
180.0000	2058.9276
142.0000	2461.1849
178.0000	1432.3955
139.0000	2087.4058
91.0000	1188.9058
135.0000	2339.2142
108.0000	1568.0430
67.0000	732.6002
81.0000	955.0366
54.0000	732.4759
100.0000	1308.8625
121.0000	2313.9339
112.0000	1844.1082
91.0000	1130.0535
93.0000	1786.5094
124.0000	1512.8655
109.0000	1166.6482
122.0000	1669.3052
105.0000	1349.7659
99.0000	852.4570
104.0000	1361.2035
136.0000	1520.0033
102.0000	1291.5251
90.0000	881.6462
160.0000	2082.8351
117.0000	1327.6754
107.0000	1074.2681
122.0000	1715.2539
98.0000	1218.6636
123.0000	1783.7220
77.0000	985.3862
87.0000	982.4475
117.0000	1519.2844
110.0000	1644.0386
112.0000	1230.5950
105.0000	1918.3089
136.0000	1554.5884
167.0000	1672.8234
130.0000	1206.7481
137.0000	1289.0939
118.0000	1853.6699
166.0000	1352.9442
121.0000	1640.0473
140.0000	1400.7284
81.0000	1110.5395
93.0000	1096.7817
71.0000	1055.3222
83.0000	1149.6891
104.0000	1398.6254
109.0000	1523.2452
118.0000	2085.9183
64.0000	858.0472
87.0000	1424.8937
86.0000	1366.5965
88.0000	1377.3155
105.0000	1068.2303
87.0000	1188.9760
79.0000	1064.3317
140.0000	2246.7185
101.0000	1156.2820
99.0000	998.7737
83.0000	2024.6180
113.0000	1420.3911
136.0000	1145.4929
139.0000	1456.1267
147.0000	1217.9803
158.0000	1040.9688
156.0000	1713.9813
141.0000	2087.9564
133.0000	1446.8096
96.0000	1240.8574
61.0000	660.0651
165.0000	1718.9197
135.0000	1111.2502
108.0000	1344.1525
146.0000	1782.5830
101.0000	1301.3382
142.0000	1201.5544
123.0000	1222.0949
145.0000	1563.3179
87.0000	1173.1743
143.0000	1715.3848
120.0000	1000.2120
75.0000	1121.0183
102.0000	1329.3333
101.0000	1461.1232
98.0000	1581.7588
82.0000	1214.0387
178.0000	2280.7948
178.0000	2103.6145
173.0000	2512.5284
162.0000	1761.1874
179.0000	2590.0761
165.0000	2842.2065
185.0000	2261.3821
169.0000	1598.3232
82.0000	1237.4142
126.0000	1275.6928
117.0000	1186.3878
135.0000	1465.8469
145.0000	1783.3998
142.0000	1189.8075
114.0000	1029.0860
86.0000	1554.6685
92.0000	1445.8319
101.0000	1222.4770
102.0000	1260.3388
87.0000	1963.1709
79.0000	974.1653
118.0000	2264.2813
106.0000	1077.1936
109.0000	1729.2059
109.0000	2062.3542
117.0000	1952.1265
152.0000	1429.5744
72.0000	805.0205
72.0000	1079.4915
72.0000	964.3998
108.0000	1886.4938
122.0000	1395.3383
111.0000	1531.8789
131.0000	1869.2723
80.0000	1696.8745
41.0000	613.6571
107.0000	1417.0737
75.0000	1193.2711
103.0000	1306.0923
102.0000	1413.4557
120.0000	1297.6194
86.0000	874.4730
116.0000	1960.2222
110.0000	1278.7291
54.0000	563.9725
122.0000	1340.7464
100.0000	947.9430
109.0000	1199.5241
138.0000	1722.9257
131.0000	1346.6778
110.0000	779.0302
72.0000	1054.1518
85.0000	1172.4521
93.0000	1608.2935
89.0000	1863.7419
100.0000	1287.4125
101.0000	2017.6776
80.0000	982.0616
121.0000	1819.1613
100.0000	1120.4178
62.0000	754.7688
101.0000	1025.2985
126.0000	1995.6162
129.0000	1302.7801
88.0000	962.0728
127.0000	1105.3556
67.0000	1106.4628
89.0000	930.0672
135.0000	1337.3317
155.0000	1928.7206
91.0000	1194.0515
110.0000	1718.3844
152.0000	1356.9628
97.0000	2143.9228
104.0000	1203.5934
89.0000	1132.3696
114.0000	1389.5233
111.0000	1401.4810
110.0000	1293.7836
131.0000	1818.8823
116.0000	1298.2927
101.0000	1023.5326
75.0000	1014.8034
146.0000	1539.3148
136.0000	1436.2444
173.0000	1403.3820
137.0000	1567.0029
165.0000	1523.5862
140.0000	1540.8926
109.0000	1178.2249
87.0000	1513.5237
129.0000	1381.6729
106.0000	1385.0708
117.0000	1332.2916
95.0000	1500.5089
123.0000	1505.3734
117.0000	1384.3601
125.0000	1363.9542
